n;word_ortho;number_syllables;word_q1;onset_q1;coda_q1;word_q2;onset_q2;coda_q2
1;а;1;V;V;V;V;V;V
2;аба;2;V-O-V;V;V;V-O-V;V;V
3;абажур;3;V-O-V-O-V-R;V;R;V-O-V-O-V-S;V;S
4;абаџија;4;V-O-V-O-V-J-V;V;V;V-O-V-O-V-S-V;V;V
5;абдал;2;V-O-O-V-L;V;L;V-O-O-V-S;V;S
6;абдикација;5;V-O-O-V-O-V-O-V-J-V;V;V;V-O-O-V-O-V-O-V-S-V;V;V
7;абдицира;4;V-O-O-V-O-V-R-V;V;V;V-O-O-V-O-V-S-V;V;V
8;абдомен;3;V-O-O-V-N-V-N;V;N;V-O-O-V-S-V-S;V;S
9;абдоминален;5;V-O-O-V-N-V-N-V-L-V-N;V;N;V-O-O-V-S-V-S-V-S-V-S;V;S
10;абер;2;V-O-V-R;V;R;V-O-V-S;V;S
11;аберација;5;V-O-V-R-V-O-V-J-V;V;V;V-O-V-S-V-O-V-S-V;V;V
12;аберџија;4;V-O-V-R-O-V-J-V;V;V;V-O-V-S-O-V-S-V;V;V
13;абецеда;4;V-O-V-O-V-O-V;V;V;V-O-V-O-V-O-V;V;V
14;абецедар;4;V-O-V-O-V-O-V-R;V;R;V-O-V-O-V-O-V-S;V;S
15;абецеден;4;V-O-V-O-V-O-V-N;V;N;V-O-V-O-V-O-V-S;V;S
16;аби;2;V-O-V;V;V;V-O-V;V;V
17;абиогенеза;6;V-O-V-V-O-V-N-V-O-V;V;V;V-O-V-V-O-V-S-V-O-V;V;V
18;абнормален;4;V-O-N-V-R-N-V-L-V-N;V;N;V-O-S-V-S-S-V-S-V-S;V;S
19;аболира;4;V-O-V-L-V-R-V;V;V;V-O-V-S-V-S-V;V;V
20;аболиција;5;V-O-V-L-V-O-V-J-V;V;V;V-O-V-S-V-O-V-S-V;V;V
21;абонамент;4;V-O-V-N-V-N-V-N-O;V;N-O;V-O-V-S-V-S-V-S-O;V;S-O
22;абонација;5;V-O-V-N-V-O-V-J-V;V;V;V-O-V-S-V-O-V-S-V;V;V
23;абонент;3;V-O-V-N-V-N-O;V;N-O;V-O-V-S-V-S-O;V;S-O
24;абонентски;4;V-O-V-N-V-N-O-O-O-V;V;V;V-O-V-S-V-S-O-O-O-V;V;V
25;абонира;4;V-O-V-N-V-R-V;V;V;V-O-V-S-V-S-V;V;V
26;абонос;3;V-O-V-N-V-O;V;O;V-O-V-S-V-O;V;O
27;абоносов;4;V-O-V-N-V-O-V-O;V;O;V-O-V-S-V-O-V-O;V;O
28;абортира;4;V-O-V-R-O-V-R-V;V;V;V-O-V-S-O-V-S-V;V;V
29;абортус;3;V-O-V-R-O-V-O;V;O;V-O-V-S-O-V-O;V;O
30;абразив;3;V-O-R-V-O-V-O;V;O;V-O-S-V-O-V-O;V;O
31;абразивен;4;V-O-R-V-O-V-O-V-N;V;N;V-O-S-V-O-V-O-V-S;V;S
32;абразија;4;V-O-R-V-O-V-J-V;V;V;V-O-S-V-O-V-S-V;V;V
33;абраш;2;V-O-R-V-O;V;O;V-O-S-V-O;V;O
34;абрашест;3;V-O-R-V-O-V-O-O;V;O-O;V-O-S-V-O-V-O-O;V;O-O
35;абрашлив;3;V-O-R-V-O-L-V-O;V;O;V-O-S-V-O-S-V-O;V;O
36;абрашлија;4;V-O-R-V-O-L-V-J-V;V;V;V-O-S-V-O-S-V-S-V;V;V
37;абре;2;V-O-R-V;V;V;V-O-S-V;V;V
38;абревијатура;6;V-O-R-V-O-V-J-V-O-V-R-V;V;V;V-O-S-V-O-V-S-V-O-V-S-V;V;V
39;ава;2;V-O-V;V;V;V-O-V;V;V
40;аван;2;V-O-V-N;V;N;V-O-V-S;V;S
41;авангарда;4;V-O-V-N-O-V-R-O-V;V;V;V-O-V-S-O-V-S-O-V;V;V
42;авангарден;4;V-O-V-N-O-V-R-O-V-N;V;N;V-O-V-S-O-V-S-O-V-S;V;S
43;авангардизам;5;V-O-V-N-O-V-R-O-V-O-V-N;V;N;V-O-V-S-O-V-S-O-V-O-V-S;V;S
44;аванс;2;V-O-V-N-O;V;N-O;V-O-V-S-O;V;S-O
45;авансира;4;V-O-V-N-O-V-R-V;V;V;V-O-V-S-O-V-S-V;V;V
46;авантура;4;V-O-V-N-O-V-R-V;V;V;V-O-V-S-O-V-S-V;V;V
47;авантуризам;5;V-O-V-N-O-V-R-V-O-V-N;V;N;V-O-V-S-O-V-S-V-O-V-S;V;S
48;авантурист;4;V-O-V-N-O-V-R-V-O-O;V;O-O;V-O-V-S-O-V-S-V-O-O;V;O-O
49;аватар;3;V-O-V-O-V-R;V;R;V-O-V-O-V-S;V;S
50;Авганистан;4;V-O-O-V-N-V-O-O-V-N;V;N;V-O-O-V-S-V-O-O-V-S;V;S
51;август;2;V-O-O-V-O-O;V;O-O;V-O-O-V-O-O;V;O-O
52;авенија;4;V-O-V-N-V-J-V;V;V;V-O-V-S-V-S-V;V;V
53;аверзија;4;V-O-V-R-O-V-J-V;V;V;V-O-V-S-O-V-S-V;V;V
54;аверс;2;V-O-V-R-O;V;R-O;V-O-V-S-O;V;S-O
55;авет;2;V-O-V-O;V;O;V-O-V-O;V;O
56;авијатика;5;V-O-V-J-V-O-V-O-V;V;V;V-O-V-S-V-O-V-O-V;V;V
57;авијатичар;5;V-O-V-J-V-O-V-O-V-R;V;R;V-O-V-S-V-O-V-O-V-S;V;S
58;авијација;5;V-O-V-J-V-O-V-J-V;V;V;V-O-V-S-V-O-V-S-V;V;V
